objectid;id_medidor;fecha;energia_kw;potencia_k;hora
88994;4;6/10/2019;206161.00;27.84;14:45
89000;4;6/10/2019;206162.00;25.96;15:00
89006;4;6/10/2019;206164.00;24.70;15:15
89013;4;6/10/2019;206165.00;26.88;15:30
89020;4;6/10/2019;206166.00;27.44;15:45
89033;4;6/10/2019;206168.00;24.78;16:00
89040;4;6/10/2019;206169.00;25.44;16:15
89046;4;6/10/2019;206170.00;26.80;16:30
89053;4;6/10/2019;206172.00;24.94;16:45
89059;4;6/10/2019;206173.00;24.66;17:00
89066;4;6/10/2019;206174.00;27.46;17:15
89073;4;6/10/2019;206175.00;25.00;17:30
